SymbolIdx,JitterSamples,TrueSamplePos,DirtySamplePos
0,0,128,128
1,0,384,384
2,0,640,640
3,0,896,896
4,0,1152,1152
5,0,1408,1408
6,0,1664,1664
7,0,1920,1920
8,0,2176,2176
9,0,2432,2432
10,0,2688,2688
11,0,2944,2944
12,0,3200,3200
13,0,3456,3456
14,0,3712,3712
15,0,3968,3968
16,0,4224,4224
17,0,4480,4480
18,0,4736,4736
19,0,4992,4992
20,0,5248,5248
21,0,5504,5504
22,0,5760,5760
23,0,6016,6016
24,0,6272,6272
25,0,6528,6528
26,0,6784,6784
27,0,7040,7040
28,0,7296,7296
29,0,7552,7552
30,0,7808,7808
31,0,8064,8064
32,0,8320,8320
33,0,8576,8576
34,0,8832,8832
35,0,9088,9088
36,0,9344,9344
37,0,9600,9600
38,0,9856,9856
39,0,10112,10112
40,0,10368,10368
41,0,10624,10624
42,0,10880,10880
43,0,11136,11136
44,0,11392,11392
45,0,11648,11648
46,0,11904,11904
47,0,12160,12160
48,0,12416,12416
49,0,12672,12672
50,0,12928,12928
51,0,13184,13184
52,0,13440,13440
53,0,13696,13696
54,0,13952,13952
55,0,14208,14208
56,0,14464,14464
57,0,14720,14720
58,0,14976,14976
59,0,15232,15232
60,0,15488,15488
61,0,15744,15744
62,0,16000,16000
63,0,16256,16256
64,0,16512,16512
65,0,16768,16768
66,0,17024,17024
67,0,17280,17280
68,0,17536,17536
69,0,17792,17792
70,0,18048,18048
71,0,18304,18304
72,0,18560,18560
73,0,18816,18816
74,0,19072,19072
75,0,19328,19328
76,0,19584,19584
77,0,19840,19840
78,0,20096,20096
79,0,20352,20352
80,0,20608,20608
81,0,20864,20864
82,0,21120,21120
83,0,21376,21376
84,0,21632,21632
85,0,21888,21888
86,0,22144,22144
87,0,22400,22400
88,0,22656,22656
89,0,22912,22912
90,0,23168,23168
91,0,23424,23424
92,0,23680,23680
93,0,23936,23936
94,0,24192,24192
95,0,24448,24448
96,0,24704,24704
97,0,24960,24960
98,0,25216,25216
99,0,25472,25472
100,0,25728,25728
101,0,25984,25984
102,0,26240,26240
103,0,26496,26496
104,0,26752,26752
105,0,27008,27008
106,0,27264,27264
107,0,27520,27520
108,0,27776,27776
109,0,28032,28032
110,0,28288,28288
111,0,28544,28544
112,0,28800,28800
113,0,29056,29056
114,0,29312,29312
115,0,29568,29568
116,0,29824,29824
117,0,30080,30080
118,0,30336,30336
119,0,30592,30592
