SymbolIdx,PreambleCorr
1,6179
2,10027
3,15236
4,3479
5,197
6,19612
7,19245
8,29112
9,11876
10,27791
11,8995
12,26579
13,6721
14,11781
15,29225
16,50697
17,44665
18,30888
19,24391
20,64937
21,45673
22,108287
23,14257
24,7545
25,3027
26,67470
27,83720
28,3836
29,8957
30,4419
31,80523
32,39679
33,94352
34,45300
35,66683
36,157723
37,46500
38,95427
39,95901
40,89516
41,26274
42,52324
43,12332
44,161239
45,12032
46,142844
47,29088
48,17801
49,2828
50,13497
51,50385
52,89444
53,13742
54,2106
55,72806
56,42665
57,89850
58,46746
59,27818
60,8874
61,100525
62,98328
63,29909
64,75468
65,73013
66,9089
67,172361
68,19024
69,77327
70,53908
71,160411
72,150509
73,89646
74,95671
75,227457
76,99303
77,33081
78,77833
79,19642
80,47333
81,113798
82,101644
83,137892
84,38790
85,57145
86,84477
87,11223
88,19635
89,26324
90,52162
91,28991
92,38659
93,25900
94,104607
95,65721
96,59513
97,26506
98,150868
99,59684
100,161854
101,77397
102,135507
103,74159
104,67909
105,64625
106,106493
107,45087
108,25376
109,84159
110,38590
111,10006
112,82127
113,63312
114,123508
115,10044
116,9921
117,111603
118,91930
119,66239
120,4610
