SampleIdx,Signal_I,Strobe_Center,Strobe_Joint
0,15902,0,-15000
1,8336,0,0
2,16382,0,0
3,-14695,0,0
4,-1474,0,0
5,-23169,0,0
6,1867,0,0
7,-11648,0,0
8,15403,0,0
9,5532,0,0
10,9243,0,0
11,-4492,0,0
12,-11862,0,0
13,-14171,0,0
14,4128,0,0
15,-4945,0,0
16,-3386,0,0
17,22994,0,0
18,2768,0,0
19,-464,0,0
20,-2703,0,0
21,-2275,0,0
22,-15880,0,0
23,-10372,0,0
24,-4387,0,0
25,9233,0,0
26,14594,0,0
27,-3534,0,0
28,-15673,0,0
29,-5436,0,0
30,-18034,0,0
31,17835,0,0
32,8305,0,0
33,-10287,0,0
34,15587,0,0
35,-12666,0,0
36,3912,0,0
37,-3828,0,0
38,10490,0,0
39,-1567,0,0
40,-759,0,0
41,-4563,0,0
42,-22172,0,0
43,-20159,0,0
44,-17051,0,0
45,1738,0,0
46,5076,0,0
47,14280,0,0
48,-8645,0,0
49,13719,0,0
50,2663,0,0
51,-3793,0,0
52,-4590,0,0
53,-2380,0,0
54,-18921,0,0
55,10836,0,0
56,-1410,0,0
57,9426,0,0
58,-16364,0,0
59,-4506,0,0
60,12886,0,0
61,-5213,0,0
62,-7278,0,0
63,16997,0,0
64,1504,0,0
65,10961,0,0
66,-883,0,0
67,48,0,0
68,4745,0,0
69,15133,0,0
70,301,0,0
71,11601,0,0
72,-11957,0,0
73,-16515,0,0
74,23168,0,0
75,1063,0,0
76,-11605,0,0
77,-5686,0,0
78,14311,0,0
79,2116,0,0
80,-9497,0,0
81,-274,0,0
82,-11039,0,0
83,-16206,0,0
84,-17756,0,0
85,15290,0,0
86,-16198,0,0
87,19292,0,0
88,1785,0,0
89,12539,0,0
90,-20279,0,0
91,19943,0,0
92,1495,0,0
93,8634,0,0
94,-14081,0,0
95,-9409,0,0
96,16957,0,0
97,-13035,0,0
98,-20434,0,0
99,1401,0,0
100,-20159,0,0
101,-6067,0,0
102,-16401,0,0
103,-10100,0,0
104,11814,0,0
105,-9836,0,0
106,-2309,0,0
107,-22204,0,0
108,17536,0,0
109,7531,0,0
110,15840,0,0
111,1744,0,0
112,4109,0,0
113,6236,0,0
114,-8852,0,0
115,23060,0,0
116,164,0,0
117,17165,0,0
118,1606,0,0
119,-2665,0,0
120,-7066,0,0
121,7700,0,0
122,-14090,0,0
123,17933,0,0
124,-12895,0,0
125,22329,0,0
126,3209,0,0
127,21999,0,0
128,-3086,15000,0
129,-21487,0,0
130,19973,0,0
131,10010,0,0
132,5913,0,0
133,-872,0,0
134,7267,0,0
