Tone1300_I,Tone1300_Q,Tone1400_I,Tone1400_Q,Tone1500_I,Tone1500_Q,Tone1600_I,Tone1600_Q
21.710857,0.000000,19.684504,0.030378,17.983421,-0.353261,16.512032,-0.018945
22.665201,0.000000,20.723217,-0.050938,18.940430,0.203609,17.515471,-0.040470
22.968559,0.000000,-11.493321,-16.024599,18.058933,0.937843,-9.001205,-15.379160
22.501621,0.000000,20.231693,0.843845,17.770454,-0.045580,-9.061948,13.717977
21.477200,0.000000,21.769571,0.586649,-10.435170,15.091341,-9.153510,13.534385
21.561108,0.000000,-8.650143,-18.722105,18.479504,-0.440113,-9.680500,-14.730513
22.303465,0.000000,-10.926783,18.337559,18.203037,0.212254,-9.258720,14.200633
22.251621,0.000000,20.573957,-1.416735,-8.955317,16.833979,17.012028,-1.269338
20.192419,0.000000,-9.833908,-15.622767,-11.025495,-15.338699,-8.359869,-14.590278
19.840996,0.000000,19.547520,0.481648,17.630802,-0.883923,17.552691,-0.960274
20.415260,0.000000,19.867085,-0.044965,17.816452,0.113427,17.882357,0.031635
1.033838,0.000000,0.218423,-0.806386,0.539670,-0.238085,-0.161348,0.177596
0.075305,0.000000,0.049700,0.098511,0.047121,0.075624,0.042086,0.028412
