SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
16,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
32,0.55,0.56,0.57,0.57,0.58,0.58,0.58,0.59,0.59,0.60,0.60
48,2.11,2.14,2.16,2.19,2.21,2.24,2.26,2.28,2.30,2.32,2.33
64,3.14,3.23,3.32,3.41,3.50,3.58,3.67,3.75,3.83,3.90,3.97
80,10.04,10.30,10.54,10.76,10.96,11.14,11.31,11.45,11.57,11.66,11.73
96,23.84,24.62,25.36,26.05,26.69,27.27,27.78,28.24,28.62,28.92,29.15
112,43.86,45.54,47.13,48.61,49.98,51.22,52.31,53.25,54.03,54.63,55.05
128,74.00,77.05,79.89,82.51,84.87,86.94,88.69,90.09,91.13,91.79,92.06
144,110.06,115.46,120.52,125.17,129.33,132.94,135.95,138.29,139.93,140.83,140.98
160,149.41,157.79,165.63,172.78,179.12,184.53,188.91,192.17,194.23,195.05,194.59
176,166.25,176.28,185.64,194.15,201.64,207.96,212.98,216.58,218.68,219.21,218.16
192,190.61,202.19,212.75,222.05,229.89,236.06,240.44,242.89,243.36,241.81,238.27
208,212.31,224.69,235.59,244.74,251.91,256.92,259.62,259.95,257.89,253.49,246.87
224,246.76,260.26,271.33,279.64,284.93,287.01,285.84,281.47,274.06,263.86,251.22
240,298.02,320.08,338.37,352.10,360.64,363.58,360.70,352.08,338.02,319.07,295.99
256,310.29,339.54,364.87,385.09,399.21,406.44,406.32,398.69,383.81,362.24,334.92
272,313.53,347.73,378.11,403.15,421.53,432.17,434.36,427.79,412.60,389.40,359.23
288,311.69,346.95,378.51,404.78,424.35,436.08,439.16,433.24,418.40,395.24,364.82
304,304.10,335.76,364.13,387.93,406.03,417.45,421.47,417.67,405.99,386.73,360.59
320,311.28,335.30,355.35,370.95,381.79,387.67,388.48,384.17,374.75,360.28,340.91
336,335.34,350.01,358.60,361.79,360.63,356.30,349.91,342.31,333.90,324.57,313.80
352,373.27,378.19,373.53,361.44,344.82,326.87,310.51,297.94,290.20,287.06,287.01
368,440.67,431.21,405.71,368.89,327.05,287.05,255.15,235.93,231.42,240.77,260.39
384,518.99,501.40,459.27,399.46,331.70,267.01,215.77,185.81,180.93,200.19,238.05
400,596.33,578.60,526.57,448.31,356.52,266.44,193.11,148.47,139.04,164.57,218.06
416,632.11,611.69,552.57,463.99,360.59,259.92,179.17,131.83,124.89,157.47,220.93
432,668.18,646.93,581.83,483.20,367.79,255.80,166.98,116.60,112.26,152.27,226.09
448,683.69,650.99,574.16,466.25,346.26,235.49,153.29,113.05,119.51,167.97,245.53
464,659.96,604.35,514.31,406.44,299.78,211.86,155.45,136.38,153.19,198.17,259.49
480,657.29,576.44,468.84,355.99,258.20,190.11,158.07,160.09,187.84,230.06,275.82
496,697.89,589.38,454.17,321.80,218.33,159.71,148.54,175.11,222.16,271.36,309.12
512,705.27,578.81,430.74,294.59,197.33,152.28,156.76,195.04,245.39,288.28,312.58
528,710.08,569.90,412.67,274.94,183.94,150.20,166.27,211.59,261.52,296.72,309.28
544,700.98,545.32,382.53,250.93,174.83,158.24,186.23,233.12,273.76,293.10,290.45
560,685.77,525.86,365.88,242.83,177.17,168.26,197.83,239.70,271.31,282.13,275.64
576,677.69,508.91,347.73,231.35,176.85,178.04,211.69,249.69,271.60,271.98,259.79
592,706.63,529.42,353.67,223.50,162.55,167.43,212.33,262.51,290.48,287.16,263.34
608,724.76,529.20,339.31,205.69,152.88,172.15,228.97,281.53,300.90,283.04,247.29
624,730.67,509.63,308.79,183.32,151.84,192.25,257.10,299.75,297.54,259.97,218.82
640,747.54,506.87,292.94,167.47,147.88,203.75,277.26,316.04,299.96,247.70,200.78
656,785.68,533.24,298.34,155.55,132.54,199.92,290.95,340.49,320.63,252.49,188.56
672,805.26,551.29,306.40,152.03,123.60,194.99,296.05,353.93,334.36,258.10,183.50
688,819.07,558.64,305.39,146.37,119.93,197.93,304.74,362.80,337.51,253.99,176.27
704,810.14,558.80,311.72,152.20,119.75,191.50,297.08,360.02,341.80,261.83,181.24
720,775.42,522.87,295.63,160.27,137.10,196.86,280.57,331.19,321.22,263.30,199.92
736,726.93,453.77,256.30,172.11,177.05,219.09,257.15,276.51,278.64,266.04,241.11
752,703.14,393.50,214.70,181.73,222.17,252.40,244.17,227.43,238.34,271.86,287.72
768,700.44,346.45,177.10,191.41,269.05,290.78,238.07,185.69,205.72,284.95,338.88
784,712.82,319.12,150.10,198.04,306.16,324.34,238.52,158.08,184.36,298.32,380.54
800,687.31,299.04,151.60,215.20,318.41,318.17,221.20,149.36,195.08,318.71,390.59
816,644.12,282.06,166.32,236.50,318.04,294.40,199.26,152.61,218.83,335.35,380.15
832,620.25,270.70,174.37,250.64,320.15,281.55,186.39,154.92,234.00,345.97,373.64
848,620.70,280.75,179.08,243.33,308.74,278.36,193.32,161.42,229.92,333.87,365.71
