# Бин, Квадрат_Амплитуды, Частота_Гц
0, 2984, 0.00
1, 1205, 31.25
2, 1781, 62.50
3, 776, 93.75
4, 388, 125.00
5, 1874, 156.25
6, 865, 187.50
7, 3977, 218.75
8, 3185, 250.00
9, 3816, 281.25
10, 338, 312.50
11, 3425, 343.75
12, 20, 375.00
13, 1040, 406.25
14, 1853, 437.50
15, 1945, 468.75
16, 305, 500.00
17, 5161, 531.25
18, 3077, 562.50
19, 100, 593.75
20, 1013, 625.00
21, 1600, 656.25
22, 4640, 687.50
23, 2385, 718.75
24, 8818, 750.00
25, 3893, 781.25
26, 2477, 812.50
27, 11348, 843.75
28, 9178, 875.00
29, 25317, 906.25
30, 36010, 937.50
31, 3903133, 968.75
32, 16695757, 1000.00
33, 4254365, 1031.25
34, 36500, 1062.50
35, 14596, 1093.75
36, 9081, 1125.00
37, 3181, 1156.25
38, 3505, 1187.50
39, 5617, 1218.75
40, 4069, 1250.00
41, 1921, 1281.25
42, 2938, 1312.50
43, 1544, 1343.75
44, 3316, 1375.00
45, 457, 1406.25
46, 8900, 1437.50
47, 3650, 1468.75
48, 666, 1500.00
49, 8905, 1531.25
50, 9010, 1562.50
51, 3733, 1593.75
52, 2113, 1625.00
53, 778, 1656.25
54, 666, 1687.50
55, 296, 1718.75
56, 433, 1750.00
57, 545, 1781.25
58, 1037, 1812.50
59, 2105, 1843.75
60, 4745, 1875.00
61, 1537, 1906.25
62, 362, 1937.50
63, 585, 1968.75
64, 4628, 2000.00
65, 3140, 2031.25
66, 232, 2062.50
67, 725, 2093.75
68, 1256, 2125.00
69, 1873, 2156.25
70, 1417, 2187.50
71, 4285, 2218.75
72, 3145, 2250.00
73, 6464, 2281.25
74, 3805, 2312.50
75, 1384, 2343.75
76, 1205, 2375.00
77, 1469, 2406.25
78, 625, 2437.50
79, 544, 2468.75
80, 1525, 2500.00
81, 1268, 2531.25
82, 845, 2562.50
83, 1665, 2593.75
84, 442, 2625.00
85, 2610, 2656.25
86, 1224, 2687.50
87, 680, 2718.75
88, 1480, 2750.00
89, 4498, 2781.25
90, 2210, 2812.50
91, 4264, 2843.75
92, 1402, 2875.00
93, 2941, 2906.25
94, 3042, 2937.50
95, 2545, 2968.75
96, 5353, 3000.00
97, 2341, 3031.25
98, 1296, 3062.50
99, 4804, 3093.75
100, 5058, 3125.00
101, 2597, 3156.25
102, 2281, 3187.50
103, 1481, 3218.75
104, 2745, 3250.00
105, 5525, 3281.25
106, 2708, 3312.50
107, 1060, 3343.75
108, 3133, 3375.00
109, 2336, 3406.25
110, 5920, 3437.50
111, 3769, 3468.75
112, 776, 3500.00
113, 4714, 3531.25
114, 8354, 3562.50
115, 6929, 3593.75
116, 1417, 3625.00
117, 1360, 3656.25
118, 2644, 3687.50
119, 3797, 3718.75
120, 2826, 3750.00
121, 3485, 3781.25
122, 3434, 3812.50
123, 605, 3843.75
124, 3152, 3875.00
125, 2314, 3906.25
126, 1945, 3937.50
127, 4040, 3968.75
