# Бин, Квадрат_Амплитуды, Частота_Гц
20, 326441, 625.00
21, 1001876, 656.25
22, 958117, 687.50
23, 274592, 718.75
24, 759370, 750.00
25, 371650, 781.25
26, 1544465, 812.50
27, 243578, 843.75
28, 1456930, 875.00
29, 1325330, 906.25
30, 431701, 937.50
31, 200417242, 968.75
32, 1118512386, 1000.00
33, 1398364669, 1031.25
34, 16034122, 1062.50
35, 1541250, 1093.75
36, 82058, 1125.00
37, 305162, 1156.25
38, 275360, 1187.50
39, 17218, 1218.75
40, 747434, 1250.00
41, 1570205, 1281.25
42, 454130, 1312.50
43, 320506, 1343.75
44, 1388458, 1375.00
45, 613908, 1406.25
46, 255976, 1437.50
47, 450101, 1468.75
48, 16130, 1500.00
49, 97088, 1531.25
