# Time_s  Freq_Delta_Hz  Magnitude_Sq
8.190  -125.00  8000
8.190  -123.05  3860
8.190  -121.09  9725
8.190  -119.14  5945
8.190  -117.19  193
8.190  -115.23  3604
8.190  -113.28  8594
8.190  -111.33  20032
8.190  -109.38  1105
8.190  -107.42  1381
8.190  -105.47  586
8.190  -103.52  16290
8.190  -101.56  26344
8.190  -99.61  7120
8.190  -97.66  3908
8.190  -95.70  14242
8.190  -93.75  15912
8.190  -91.80  1226
8.190  -89.84  241
8.190  -87.89  881
8.190  -85.94  377
8.190  -83.98  12532
8.190  -82.03  31028
8.190  -80.08  11252
8.190  -78.12  290
8.190  -76.17  8957
8.190  -74.22  11962
8.190  -72.27  685
8.190  -70.31  6548
8.190  -68.36  6562
8.190  -66.41  1040
8.190  -64.45  8077
8.190  -62.50  2357
8.190  -60.55  3145
8.190  -58.59  15370
8.190  -56.64  18770
8.190  -54.69  3428
8.190  -52.73  8005
8.190  -50.78  11860
8.190  -48.83  12994
8.190  -46.88  13282
8.190  -44.92  12985
8.190  -42.97  325
8.190  -41.02  4802
8.190  -39.06  2665
8.190  -37.11  17289
8.190  -35.16  25009
8.190  -33.20  314
8.190  -31.25  905
8.190  -29.30  4768
8.190  -27.34  4369
8.190  -25.39  6340
8.190  -23.44  9892
8.190  -21.48  20105
8.190  -19.53  3681
8.190  -17.58  12740
8.190  -15.62  481
8.190  -13.67  14186
8.190  -11.72  4321
8.190  -9.77  3460
8.190  -7.81  5584
8.190  -5.86  16465
8.190  -3.91  25636
8.190  -1.95  2113
8.190  0.00  2980
8.190  1.95  9364
8.190  3.91  17225
8.190  5.86  16322
8.190  7.81  28009
8.190  9.77  477
8.190  11.72  16290
8.190  13.67  46549
8.190  15.62  24685
8.190  17.58  40441
8.190  19.53  53737
8.190  21.48  54301
8.190  23.44  179028
8.190  25.39  155920
8.190  27.34  185905
8.190  29.30  747045
8.190  31.25  1018909
8.190  33.20  1120765
8.190  35.16  977402
8.190  37.11  669825
8.190  39.06  262709
8.190  41.02  94480
8.190  42.97  130129
8.190  44.92  147940
8.190  46.88  48665
8.190  48.83  92170
8.190  50.78  30914
8.190  52.73  10778
8.190  54.69  17861
8.190  56.64  34957
8.190  58.59  13921
8.190  60.55  15937
8.190  62.50  3321
8.190  64.45  20122
8.190  66.41  21845
8.190  68.36  10037
8.190  70.31  6605
8.190  72.27  9410
8.190  74.22  233
8.190  76.17  2701
8.190  78.12  8317
8.190  80.08  3874
8.190  82.03  922
8.190  83.98  13977
8.190  85.94  7225
8.190  87.89  6280
8.190  89.84  1945
8.190  91.80  4276
8.190  93.75  4058
8.190  95.70  8905
8.190  97.66  5161
8.190  99.61  2017
8.190  101.56  4321
8.190  103.52  1780
8.190  105.47  3130
8.190  107.42  2725
8.190  109.38  1000
8.190  111.33  6253
8.190  113.28  8461
8.190  115.23  21760
8.190  117.19  1844
8.190  119.14  1885
8.190  121.09  841
8.190  123.05  2836

16.382  -125.00  10345
16.382  -123.05  29881
16.382  -121.09  6970
16.382  -119.14  1354
16.382  -117.19  14450
16.382  -115.23  17492
16.382  -113.28  3170
16.382  -111.33  2725
16.382  -109.38  90
16.382  -107.42  8
16.382  -105.47  458
16.382  -103.52  257
16.382  -101.56  6341
16.382  -99.61  1685
16.382  -97.66  1832
16.382  -95.70  3577
16.382  -93.75  1544
16.382  -91.80  3284
16.382  -89.84  549
16.382  -87.89  4010
16.382  -85.94  17284
16.382  -83.98  16388
16.382  -82.03  11764
16.382  -80.08  6273
16.382  -78.12  5954
16.382  -76.17  7048
16.382  -74.22  9833
16.382  -72.27  10441
16.382  -70.31  2320
16.382  -68.36  17460
16.382  -66.41  32666
16.382  -64.45  6898
16.382  -62.50  8905
16.382  -60.55  1753
16.382  -58.59  548
16.382  -56.64  1972
16.382  -54.69  10370
16.382  -52.73  11905
16.382  -50.78  5729
16.382  -48.83  10057
16.382  -46.88  6568
16.382  -44.92  3616
16.382  -42.97  8297
16.382  -41.02  11357
